snr_bin,parameter,nominal_level,empirical_coverage,deviation,flagged
low,D,0.5,0.5202312,0.020231187,False
low,Dstar,0.5,0.51445085,0.014450848,False
low,f,0.5,0.4913295,-0.008670509,False
low,D,0.68,0.66184974,-0.01815027,False
low,Dstar,0.68,0.68786126,0.007861257,False
low,f,0.68,0.6763006,-0.0036994219,False
low,D,0.8,0.7976879,-0.0023121238,False
low,Dstar,0.8,0.77745664,-0.02254337,False
low,f,0.8,0.7890173,-0.010982692,False
low,D,0.9,0.8959538,-0.0040462017,False
low,Dstar,0.9,0.89884394,-0.0011560321,False
low,f,0.9,0.8959538,-0.0040462017,False
low,D,0.95,0.94219655,-0.00780344,False
low,Dstar,0.95,0.9364162,-0.013583779,False
low,f,0.95,0.94219655,-0.00780344,False
mid,D,0.5,0.47352025,-0.02647975,False
mid,Dstar,0.5,0.49532712,-0.004672885,False
mid,f,0.5,0.52024925,0.020249248,False
mid,D,0.68,0.66043615,-0.019563854,False
mid,Dstar,0.68,0.6884735,0.0084735155,False
mid,f,0.68,0.67601246,-0.0039875507,False
mid,D,0.8,0.8130841,0.013084114,False
mid,Dstar,0.8,0.8317757,0.031775713,False
mid,f,0.8,0.81931466,0.019314647,False
mid,D,0.9,0.91588783,0.015887856,False
mid,Dstar,0.9,0.9096573,0.009657323,False
mid,f,0.9,0.89096576,-0.009034216,False
mid,D,0.95,0.95327103,0.0032710433,False
mid,Dstar,0.95,0.9626168,0.012616813,False
mid,f,0.95,0.95015574,0.00015574694,False
high,D,0.5,0.4984985,-0.0015015006,False
high,Dstar,0.5,0.5015015,0.0015015006,False
high,f,0.5,0.5135135,0.013513505,False
high,D,0.68,0.6906907,0.010690689,False
high,Dstar,0.68,0.7027027,0.022702694,False
high,f,0.68,0.6846847,0.0046846867,False
high,D,0.8,0.8078078,0.0078077912,False
high,Dstar,0.8,0.8198198,0.019819796,False
high,f,0.8,0.7957958,-0.0042042136,False
high,D,0.9,0.9039039,0.0039039254,False
high,Dstar,0.9,0.9039039,0.0039039254,False
high,f,0.9,0.9099099,0.009909928,False
high,D,0.95,0.9459459,-0.0040540695,False
high,Dstar,0.95,0.9399399,-0.010060072,False
high,f,0.95,0.951952,0.0019519925,False
