anchor_case,snr,parameter,true_value,crlb_sd,nlls_empirical_sd,npe_posterior_sd
Parenchyma typical,10.0,D,1.1,0.345576882640756,0.34232662664371255,0.42854655
Parenchyma typical,10.0,Dstar,30.0,87.8342606162889,66.07997101598093,35.846466
Parenchyma typical,10.0,f,0.15,0.14179262539736598,0.15559134879722733,0.1287028
Parenchyma typical,20.0,D,1.1,0.172788441320378,0.22561416953153138,0.318156
Parenchyma typical,20.0,Dstar,30.0,43.91713030814445,61.24722190075052,33.803055
Parenchyma typical,20.0,f,0.15,0.07089631269868299,0.11146929958182492,0.122472666
Parenchyma typical,50.0,D,1.1,0.06911537652815115,0.07213400372661503,0.22810486
Parenchyma typical,50.0,Dstar,30.0,17.566852123257775,44.82587368429115,30.271801
Parenchyma typical,50.0,f,0.15,0.028358525079473177,0.03139481388385518,0.10659985
Parenchyma typical,100.0,D,1.1,0.03455768826407558,0.03537995288466216,0.2232985
Parenchyma typical,100.0,Dstar,30.0,8.783426061628887,15.703849730285462,26.45796
Parenchyma typical,100.0,f,0.15,0.014179262539736589,0.014971144550014135,0.1097696
High perfusion,10.0,D,1.3,0.39630486260370074,0.36046744476810233,0.5494393
High perfusion,10.0,Dstar,50.0,140.5321878726792,63.9448558552814,37.223946
High perfusion,10.0,f,0.25,0.12212604305051997,0.12218559090228678,0.13199395
High perfusion,20.0,D,1.3,0.19815243130185037,0.20575297776730359,0.40421578
High perfusion,20.0,Dstar,50.0,70.2660939363396,59.04434038493989,37.320812
High perfusion,20.0,f,0.25,0.06106302152525998,0.06989165497024852,0.11711414
High perfusion,50.0,D,1.3,0.07926097252074016,0.07838082984459488,0.29337108
High perfusion,50.0,Dstar,50.0,28.106437574535843,46.526485814275986,37.828278
High perfusion,50.0,f,0.25,0.024425208610104,0.024683023221268818,0.09622445
High perfusion,100.0,D,1.3,0.03963048626037008,0.039947557998143444,0.27614662
High perfusion,100.0,Dstar,50.0,14.053218787267921,30.535442558409756,36.340736
High perfusion,100.0,f,0.25,0.012212604305052,0.012661314662422847,0.08807982
Low-f hard,10.0,D,0.9,0.38519343470171813,0.30569471171000256,0.327187
Low-f hard,10.0,Dstar,15.0,58.133560637096664,65.24417651817447,35.776756
Low-f hard,10.0,f,0.1,0.20875789783487017,0.16240127473909913,0.11734788
Low-f hard,20.0,D,0.9,0.19259671735085906,0.23313742869946608,0.25845498
Low-f hard,20.0,Dstar,15.0,29.066780318548332,61.66184784535447,31.937706
Low-f hard,20.0,f,0.1,0.10437894891743509,0.13878462418934495,0.11564867
Low-f hard,50.0,D,0.9,0.07703868694034362,0.114894426103797,0.20829806
Low-f hard,50.0,Dstar,15.0,11.626712127419333,43.87160901747495,24.69459
Low-f hard,50.0,f,0.1,0.04175157956697403,0.07318253353693802,0.111230634
Low-f hard,100.0,D,0.9,0.03851934347017181,0.04295330585390555,0.17994073
Low-f hard,100.0,Dstar,15.0,5.813356063709667,11.766995445741564,18.472683
Low-f hard,100.0,f,0.1,0.020875789783487014,0.024450103437123342,0.10223845
