snr_bin,parameter,ks_pval,c2st_ranks,c2st_dap
low,D,0.263445,0.48693566885621936,0.4667292253153999
low,Dstar,0.81082386,0.48270253362527366,0.4812324053800438
low,f,0.2858566,0.5131373162339694,0.5201438848920864
mid,D,0.33750546,0.5061652131782945,0.5078488372093023
mid,Dstar,2.972883e-05,0.4798691860465116,0.4890988372093023
mid,f,0.021657856,0.5078125,0.4859859496124031
high,D,0.5138126,0.5465043205027496,0.5029626304567388
high,Dstar,0.3457135,0.4895746829760969,0.4729996633374481
high,f,0.81755465,0.4849736281001009,0.4969924812030075
